sampleId	chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minorAlleleCopyNumber	majorAlleleCopyNumber
sampleA	chr7	144308258	144391700	3.7651	6	0.5341	0.5312	DEL	DEL	BAF_WEIGHTED	14	0.4441	144308258	144308258	1.7651	2
sampleA	chr7	144391701	144393372	5.6152	0	0	0.6427	DEL	INV	BAF_WEIGHTED	1	0.463	144391701	144391701	2.0061	3.6091
sampleA	chr7	144393373	151049570	3.9717	3368	0.5413	0.5051	INV	BND	BAF_WEIGHTED	5699	0.4004	144393373	144393373	1.9656	2.0061
sampleA	chr7	151049571	159345973	1.9983	3949	0.9999	1.0049	BND	TELOMERE	BAF_WEIGHTED	7010	0.4606	151049571	151049571	0	1.9983
sampleA	chr8	1	44955504	3.3377	23030	0.5457	0.5457	TELOMERE	CENTROMERE	BAF_WEIGHTED	39140	0.413	1	1	1.5163	1.8214
sampleA	chr8	44955505	57071732	3.3217	3847	0.5455	0.5455	CENTROMERE	SGL	BAF_WEIGHTED	9627	0.3956	44955505	44955505	1.5097	1.812
sampleA	chr8	57071733	130235869	3.3507	25497	0.5456	0.5456	SGL	DUP	BAF_WEIGHTED	68831	0.3819	57071733	57071733	1.5225	1.8282
sampleA	chr8	130235870	130262400	4.0288	16	0.5705	0.5709	DUP	DUP	BAF_WEIGHTED	26	0.3843	130235870	130235870	1.7289	2.2998
sampleA	chr8	130262401	145138636	3.3636	6578	0.5442	0.5442	DUP	TELOMERE	BAF_WEIGHTED	12940	0.4469	130262401	130262401	1.5332	1.8304
sampleA	chr9	1	28031837	1.9968	15666	1	1.0051	TELOMERE	INV	BAF_WEIGHTED	26032	0.3807	1	1	0	1.9968
sampleA	chr9	28031838	28031864	0.9634	0	0	1	INV	INV	STRUCTURAL_VARIANT	0	0	28031838	28031838	0	0.9634
sampleA	chr9	28031865	28034288	1.7847	1	1	1.0057	INV	DEL	BAF_WEIGHTED	2	0.427	28031865	28031865	0	1.7847
sampleA	chr9	28034289	28034468	1.0941	0	0	1.0092	DEL	INV	STRUCTURAL_VARIANT	0	0	28034289	28034289	0	1.0941
sampleA	chr9	28034469	28059142	2.0342	14	1	1.005	INV	INV	BAF_WEIGHTED	23	0.3638	28034469	28034469	0	2.0342
sampleA	chr9	28059143	28157693	0.974	58	1	1	INV	DEL	BAF_WEIGHTED	78	0.3622	28059143	28059143	0	0.974
sampleA	chr9	28157694	30338966	1.9822	1592	1	1.0051	DEL	SGL	BAF_WEIGHTED	2066	0.3506	28157694	28157694	0	1.9822
sampleA	chr9	30338967	44377362	3.9479	2847	0.5398	0.5063	SGL	CENTROMERE	BAF_WEIGHTED	7513	0.4212	30338967	30338967	1.949	1.9988
sampleA	chr9	44377363	110701870	3.71	17135	0.54990000000000006	0.5395	CENTROMERE	SGL	BAF_WEIGHTED	39145	0.4057	44377363	44377363	1.7084	2.0016
sampleA	chr9	110701871	138394717	3.6997	9877	0.5493	0.5398	SGL	TELOMERE	BAF_WEIGHTED	24405	0.4598	110701871	110701871	1.7024	1.9973
sampleA	chr10	1	7017549	2.0054	4084	1	1.005	TELOMERE	BND	BAF_WEIGHTED	6433	0.4303	1	1	0	2.0054
sampleA	chr10	7017550	7090912	2.8939	10	0.6565	0.6576	BND	BND	BAF_WEIGHTED	64	0.4129	7017550	7017550	0.9908	1.903
sampleA	chr10	7090913	7592409	1.9455	210	1	1.0052	BND	BND	BAF_WEIGHTED	486	0.4368	7090913	7090913	0	1.9455
sampleA	chr10	7592410	33097525	2.8019	11843	0.7104	0.7119	BND	DEL	BAF_WEIGHTED	24028	0.4051	7592410	7592410	0.8072	1.9947
sampleA	chr10	33097526	35830132	1.996	1118	1	1.0051	DEL	DEL	BAF_WEIGHTED	2641	0.4162	33097526	33097526	0	1.996
sampleA	chr10	35830133	35830199	2.5675	0	0	1.0039	DEL	BND	STRUCTURAL_VARIANT	0	0	35830133	35830133	0	2.5675
sampleA	chr10	35830200	40640101	1.961	832	1	1.0052	BND	CENTROMERE	BAF_WEIGHTED	2161	0.3919	35830200	35830200	0	1.961
sampleA	chr10	40640102	58717463	1.9981	6656	1	1.0051	CENTROMERE	BND	BAF_WEIGHTED	12930	0.3927	40640102	40640102	0	1.9981
sampleA	chr10	58717464	58717662	4.4727	0	0	1.0023	BND	BND	STRUCTURAL_VARIANT	0	0	58717464	58717464	0	4.4727
sampleA	chr10	58717663	81882050	2.0137	9672	1	1.005	BND	DEL	BAF_WEIGHTED	21556	0.4151	58717663	58717663	0	2.0137
sampleA	chr10	81882051	82067909	1.8149	112	1	1.0056	DEL	DEL	BAF_WEIGHTED	174	0.3746	81882051	81882051	0	1.8149
sampleA	chr10	82067910	87940542	1.9989	2812	1	1.0051	DEL	DEL	BAF_WEIGHTED	5125	0.4035	82067910	82067910	0	1.9989
sampleA	chr10	87940543	87952583	0	0	0	1	DEL	DEL	BAF_WEIGHTED	11	0.3647	87940543	87940543	0	0
sampleA	chr10	87952584	133797422	2.0177	19174	1	1.005	DEL	TELOMERE	BAF_WEIGHTED	42725	0.4281	87952584	87952584	0	2.0177
sampleA	chr11	1	37438553	3.2325	18616	1	1.0031	TELOMERE	INV	BAF_WEIGHTED	33334	0.4093	1	1	0	3.2325
sampleA	chr11	37438554	40837689	3.1801	1070	1	1.0032	INV	INV	BAF_WEIGHTED	3195	0.3568	37438554	37438554	0	3.1801
sampleA	chr11	40837690	52751710	2.9708	2588	1	1.0034	INV	CENTROMERE	BAF_WEIGHTED	7939	0.4233	40837690	40837690	0	2.9708
sampleA	chr11	52751711	70371346	2.9423	5121	1	1.0034	CENTROMERE	SGL	BAF_WEIGHTED	13125	0.4598	52751711	52751711	0	2.9423
sampleA	chr11	70371347	81074557	2.9559	3316	1	1.0034	SGL	DEL	BAF_WEIGHTED	9594	0.4418	70371347	70371347	0	2.9559
sampleA	chr11	81074558	81382738	1.551	311	1	1.0065	DEL	DEL	BAF_WEIGHTED	298	0.3602	81074558	81074558	0	1.551
sampleA	chr11	81382739	135086622	2.9042	23462	1	1.0035	DEL	TELOMERE	BAF_WEIGHTED	49519	0.4035	81382739	81382739	0	2.9042
sampleA	chr12	1	35977329	3.0134	16016	0.6686	0.6697	TELOMERE	CENTROMERE	BAF_WEIGHTED	31341	0.4018	1	1	0.9953	2.0182
sampleA	chr12	35977330	72273111	3.0168	13197	0.6699	0.671	CENTROMERE	BND	BAF_WEIGHTED	31788	0.4032	35977330	35977330	0.9925	2.0243
sampleA	chr12	72273112	72273294	5.5168	0	0	0.8201	BND	BND	STRUCTURAL_VARIANT	0	0	72273112	72273112	0.9925	4.5243
sampleA	chr12	72273295	91767370	3.0293	7545	0.6682	0.6693	BND	DEL	BAF_WEIGHTED	18336	0.3587	72273295	72273295	1.0017	2.0276
sampleA	chr12	91767371	91767405	2.0162	0	0	0.5081	DEL	DEL	STRUCTURAL_VARIANT	0	0	91767371	91767371	0.9918	1.0244
sampleA	chr12	91767406	129287232	2.9858	15463	0.6667	0.6678	DEL	SGL	BAF_WEIGHTED	35795	0.4323	91767406	91767406	0.9918	1.994
sampleA	chr12	129287233	133275309	2.9865	2131	0.6685	0.6696	SGL	TELOMERE	BAF_WEIGHTED	3238	0.4795	129287233	129287233	0.9866	1.9999
sampleA	chr13	1	17025623	3.1611	0	0	0.552	TELOMERE	CENTROMERE	LONG_ARM	0	0	1	1	1.4162	1.7449
sampleA	chr13	17025624	59982890	3.1611	17249	0.552	0.552	CENTROMERE	SGL	BAF_WEIGHTED	38047	0.3948	17025624	17025624	1.4162	1.7449
sampleA	chr13	59982891	114364328	3.1436	24097	0.5525	0.5525	SGL	TELOMERE	BAF_WEIGHTED	51254	0.3746	59982891	59982891	1.4069	1.7367
sampleA	chr14	1	17086761	3.0189	0	0	1.0033	TELOMERE	CENTROMERE	LONG_ARM	0	0	1	1	0	3.0189
sampleA	chr14	17086762	40748748	3.0189	8736	1	1.0033	CENTROMERE	DUP	BAF_WEIGHTED	19130	0.3901	17086762	17086762	0	3.0189
sampleA	chr14	40748749	40774902	3.1554	17	1	1.0032	DUP	DUP	BAF_WEIGHTED	25	0.348	40748749	40748749	0	3.1554
sampleA	chr14	40774903	71605134	3.0257	10557	1	1.0033	DUP	SGL	BAF_WEIGHTED	28557	0.3917	40774903	40774903	0	3.0257
sampleA	chr14	71605135	72547941	2.9792	489	1	1.0034	SGL	DUP	BAF_WEIGHTED	889	0.4146	71605135	71605135	0	2.9792
sampleA	chr14	72547942	72548039	6.9488	0	0	1.0015	DUP	DUP	STRUCTURAL_VARIANT	0	0	72547942	72547942	0	6.9488
sampleA	chr14	72548040	104093751	3.011	13978	1	1.0034	DUP	DEL	BAF_WEIGHTED	30030	0.4272	72548040	72548040	0	3.011
sampleA	chr14	104093752	104093807	1.4629	0	0	1.0069	DEL	DEL	STRUCTURAL_VARIANT	0	0	104093752	104093752	0	1.4629
sampleA	chr14	104093808	107043718	3.046	304	1	1.0033	DEL	TELOMERE	BAF_WEIGHTED	846	0.5596	104093808	104093808	0	3.046
sampleA	chr15	1	18362626	7.7646	0	0	0.7741	TELOMERE	CENTROMERE	LONG_ARM	0	0	1	1	1.7543	6.0103
sampleA	chr15	18362627	20736697	7.7646	0	0	0.7741	CENTROMERE	BND	NON_DIPLOID	36	0.3384	18362627	18362627	1.7543	6.0103
sampleA	chr15	20736698	23440460	3.7541	92	0.5478	0.5327	BND	BND	BAF_WEIGHTED	346	0.4602	20736698	20736698	1.7543	1.9998
sampleA	chr15	23440461	23461731	4.6868	29	0.5798	0.5801	BND	BND	BAF_WEIGHTED	15	0.4173	23440461	23440461	1.9678	2.719
sampleA	chr15	23461732	23467471	5.8343	5	0.6496	0.6501	BND	BND	BAF_WEIGHTED	5	0.3648	23461732	23461732	2.0413	3.793
sampleA	chr15	23467472	23472018	4.734	3	0.57	0.5703	BND	BND	BAF_WEIGHTED	4	0.4262	23467472	23467472	2.0342	2.6998
sampleA	chr15	23472019	23586513	5.8675	92	0.6543	0.6549	BND	INV	BAF_WEIGHTED	110	0.3953	23472019	23472019	2.025	3.8425
sampleA	chr15	23586514	23747554	3.8663	30	0.542	0.5173	INV	INV	BAF_WEIGHTED	141	0.4104	23586514	23586514	1.8663	2
sampleA	chr15	23747555	41329095	2.0069	6958	1	1.005	INV	DUP	BAF_WEIGHTED	14318	0.4113	23747555	23747555	0	2.0069
sampleA	chr15	41329096	41336310	4.0385	0	0	1.0025	DUP	DUP	BAF_WEIGHTED	5	0.43	41329096	41329096	0	4.0385
sampleA	chr15	41336311	84141972	2.013	14944	1	1.005	DUP	BND	BAF_WEIGHTED	39435	0.4225	41336311	41336311	0	2.013
sampleA	chr15	84141973	100001984	4.0124	7996	0.5398	0.5019	BND	SGL	BAF_WEIGHTED	14511	0.4209	84141973	84141973	1.9984	2.014
sampleA	chr15	100001985	101991189	4.0801	748	0.5385	0.5098	SGL	TELOMERE	BAF_WEIGHTED	1684	0.4514	100001985	100001985	2	2.0801
sampleA	chr16	1	34427000	3.2832	13860	0.5986	0.5992	TELOMERE	NONE	BAF_WEIGHTED	25218	0.4598	1	1	1.316	1.9672
sampleA	chr16	34427001	37295919	1.9991	65	1	1.0051	NONE	CENTROMERE	BAF_WEIGHTED	945	0.3999	34258001	34596001	0	1.9991
sampleA	chr16	37295920	58590641	2.0044	3777	1	1.005	CENTROMERE	DEL	BAF_WEIGHTED	11425	0.4365	37295920	37295920	0	2.0044
sampleA	chr16	58590642	58629426	0	0	0	1	DEL	DEL	BAF_WEIGHTED	38	0.4414	58590642	58590642	0	0
sampleA	chr16	58629427	78894739	1.9859	7757	1	1.0051	DEL	DEL	BAF_WEIGHTED	18488	0.414	58629427	58629427	0	1.9859
sampleA	chr16	78894740	79061106	0.947	135	1	1	DEL	DEL	BAF_WEIGHTED	163	0.4355	78894740	78894740	0	0.947
sampleA	chr16	79061107	90338345	1.9999	6260	1	1.0051	DEL	TELOMERE	BAF_WEIGHTED	9562	0.4785	79061107	79061107	0	1.9999
sampleA	chr17	1	24849829	2.9942	9281	0.6717	0.6728	TELOMERE	CENTROMERE	BAF_WEIGHTED	18158	0.4615	1	1	0.9796	2.0146
sampleA	chr17	24849830	83257441	3.0504	18371	0.6741	0.6753	CENTROMERE	TELOMERE	BAF_WEIGHTED	49294	0.4525	24849830	24849830	0.9905	2.0598
sampleA	chr18	1	9868619	2.0193	5232	1	1.005	TELOMERE	BND	BAF_WEIGHTED	9302	0.4014	1	1	0	2.0193
sampleA	chr18	9868620	18161052	2.8681	1987	0.7115	0.713	BND	CENTROMERE	BAF_WEIGHTED	3899	0.4295	9868620	9868620	0.8232	2.0449
sampleA	chr18	18161053	68712224	2.8515	18384	0.7052	0.7066	CENTROMERE	DEL	BAF_WEIGHTED	45544	0.3909	18161053	18161053	0.8365	2.015
sampleA	chr18	68712225	68715589	2.2491	0	0	0.628	DEL	DEL	BAF_WEIGHTED	2	0.457	68712225	68712225	0.8365	1.4125
sampleA	chr18	68715590	74573430	2.8537	2808	0.7061	0.7076	DEL	DEL	BAF_WEIGHTED	5597	0.3738	68715590	68715590	0.8345	2.0192
sampleA	chr18	74573431	74573436	2.4395	0	0	0.6542	DEL	DEL	STRUCTURAL_VARIANT	0	0	74573431	74573431	0.8435	1.5959
sampleA	chr18	74573437	80373285	2.8897	3086	0.7066	0.7081	DEL	TELOMERE	BAF_WEIGHTED	5197	0.4387	74573437	74573437	0.8435	2.0461
sampleA	chr19	1	17286002	2.8689	6839	0.6865	0.6878	TELOMERE	BND	BAF_WEIGHTED	14092	0.5129	1	1	0.8957	1.9733
